$q_z (\AA^{-1})$,qx = 0.00613,$q_z (\AA^{-1})$,qx = 0.00919,$q_z (\AA^{-1})$,qx = 0.01226,$q_z (\AA^{-1})$,qx = 0.01532,$q_z (\AA^{-1})$,qx = 0.01839,$q_z (\AA^{-1})$,qx = 0.02145,$q_z (\AA^{-1})$,qx = 0.02452,$q_z (\AA^{-1})$,qx = 0.02758,$q_z (\AA^{-1})$,qx = 0.03065,$q_z (\AA^{-1})$,qx = 0.03371,$q_z (\AA^{-1})$,qx = 0.03678,$q_z (\AA^{-1})$,qx = 0.03984,$q_z (\AA^{-1})$,qx = 0.04291,$q_z (\AA^{-1})$,qx = 0.04597,$q_z (\AA^{-1})$,qx = 0.04904,$q_z (\AA^{-1})$,qx = 0.0521,$q_z (\AA^{-1})$,qx = 0.05517,$q_z (\AA^{-1})$,qx = 0.05823,$q_z (\AA^{-1})$,qx = 0.0613,$q_z (\AA^{-1})$,qx = 0.06436
-0.010800207,41.246398,-0.016196802,10.83323892,-0.021591044,4.320649765,-0.026982923,1.622878204,-0.03237243,1.369962121,-0.037759556,0.821977272,-0.043144291,0.569061189,-0.048292661,0.252916084,-0.053672692,0.189687063,-0.059050305,0.231839743,-0.06442549,0.168610723,-0.069564691,0.105381702,-0.069276346,0.261236993,-0.068629971,0.05800328,-0.065594087,0.332807419,-0.064575544,1.084215647,-0.061670502,1.020636823,-0.058605887,0.854446334,-0.055570924,1.259836611,-0.052373135,2.427887186
-0.010459404,44.93066455,-0.015569533,10.74965122,-0.020677445,3.781904061,-0.025899145,1.529204686,-0.031118505,0.596060966,-0.036219614,0.596060966,-0.041318472,0.390522702,-0.046415073,0.349415049,-0.051509407,0.164430611,-0.056717171,0.14798755,-0.061806896,0.197316734,-0.066894331,0.073993775,-0.066594285,0.094517756,-0.066161609,0.045644542,-0.063240962,0.767242845,-0.062524204,1.417224425,-0.059614991,1.074542879,-0.056645627,1.030389288,-0.053697785,1.27222737,-0.050664345,3.93543286
-0.010005253,125.9724971,-0.0149471,39.36640534,-0.020001621,17.62344946,-0.024939057,8.439964392,-0.029874295,5.626642928,-0.034807335,2.941930445,-0.039738163,2.230562018,-0.044666779,1.398622671,-0.049593167,0.783710979,-0.054517329,0.458169496,-0.059439248,0.341617606,-0.064358926,0.289370208,-0.064158853,0.05800328,-0.063822469,0.089943997,-0.061118513,1.496217593,-0.060385258,1.553783116,-0.057576511,0.791653685,-0.054701867,1.435943975,-0.051840178,1.724660178,-0.048884969,10.80706233
-0.009555441,35.66076153,-0.01444363,7.230608301,-0.019215977,3.119085934,-0.023986181,2.150278939,-0.028754235,0.992436433,-0.033520133,0.378071022,-0.038283867,0.448959339,-0.043045431,0.307182706,-0.047804817,0.094517756,-0.052448776,0.118147194,-0.05720384,0.098455995,-0.061956706,0.078764796,-0.061743139,0.2,-0.061502428,0.399368903,-0.058909544,1.825213274,-0.058365018,1.372580555,-0.05555633,1.061584839,-0.052775755,2.579260088,-0.049999135,2.731373084,-0.047120702,22.27618009
-0.00922274,30.85774476,-0.013830994,7.053198802,-0.018437154,3.209514806,-0.023041222,1.740098389,-0.027643184,1.102062313,-0.032243041,0.62643542,-0.036840779,0.522029517,-0.041436401,0.417623613,-0.045917882,0.301617054,-0.050509289,0.232013118,-0.055098562,0.092805247,-0.059573831,0.185610495,-0.059676281,0.314803988,-0.059415668,1.139903655,-0.056925343,2.213608822,-0.056262894,0.943501064,-0.053649354,1.494064467,-0.051045312,1.755673771,-0.048258668,6.634736167,-0.045449755,30.24863436
-0.008892434,36.04016977,-0.013335607,8.482277423,-0.01777674,3.290210749,-0.022215826,2.130078635,-0.026652862,1.084057877,-0.030976993,0.821601759,-0.035409959,0.524912235,-0.039840857,0.433623151,-0.04426968,0.273867253,-0.048696423,0.228222711,-0.05312108,0.159755898,-0.057433104,0.171167033,-0.057408779,2.107780319,-0.057240591,1.680534253,-0.054957632,1.003039636,-0.054376004,1.067690826,-0.051943704,1.589795116,-0.049327664,1.471033681,-0.046533096,17.56986687,-0.043791899,28.01803951
-0.008674517,107.1907579,-0.012844178,28.10749894,-0.017231256,7.352921722,-0.021397039,3.17052588,-0.025670474,1.555281608,-0.02994191,0.899439966,-0.034101888,0.764523971,-0.038478747,0.494691981,-0.042634796,0.314803988,-0.047007508,0.247345991,-0.051159608,0.404747985,-0.055309776,0.292317989,-0.05537588,0.811085293,-0.055293083,1.69637469,-0.053106339,0.943501064,-0.052505126,1.139261778,-0.05006921,2.298350573,-0.047538899,3.439506847,-0.044902586,29.34426129,-0.042147954,23.66451924
-0.008348325,718.5755915,-0.012465368,111.6014211,-0.016580478,37.25224375,-0.020693653,17.749729,-0.024804886,10.22828134,-0.028914173,7.721132117,-0.033021509,3.794004575,-0.037126889,2.684646512,-0.041230308,1.464352643,-0.045223857,1.220293869,-0.049215533,0.820924966,-0.053313146,2.595897867,-0.05346559,1.816061209,-0.053361863,2.4743464,-0.051270837,1.328103222,-0.050745115,1.834092932,-0.048391298,1.755673771,-0.045934523,8.249272725,-0.043284986,38.52562386,-0.040590172,13.16948608
-0.008025198,2180.175347,-0.011874571,758.7812524,-0.015935873,272.4588948,-0.019888399,110.756985,-0.023839038,50.11191839,-0.027894489,24.35448002,-0.031734656,12.84583735,-0.035786218,6.554446018,-0.039622692,4.71306319,-0.043670348,2.301728535,-0.047503112,1.972910173,-0.051546843,1.446800793,-0.051571425,2.42646,-0.051548485,1.082226976,-0.049452276,1.527646476,-0.049000015,2.641111241,-0.046726977,2.003649325,-0.044260881,22.37766712,-0.041756537,34.08750158,-0.039043931,6.391811162
-0.007705365,2131.936596,-0.011502538,678.3503619,-0.015297898,215.4336491,-0.019196794,83.94539649,-0.023093762,36.14774968,-0.026883559,19.6026189,-0.030671526,12.09984662,-0.034457661,7.871405599,-0.038241958,4.423599841,-0.042024415,3.035803812,-0.04591002,2.900276856,-0.049688731,2.032904339,-0.049796549,2.171039422,-0.049750758,0.838667613,-0.047839311,2.447174559,-0.047361148,2.477111174,-0.045077178,4.678740931,-0.042683034,34.93842983,-0.040165279,28.81768094,-0.037509955,3.368295365
-0.007389052,3415.317605,-0.011132873,1034.595303,-0.014874842,232.725429,-0.018511091,84.06717609,-0.022249398,37.55107898,-0.025882073,25.0376315,-0.029616701,18.89632566,-0.033245797,12.85701703,-0.036976731,5.878260397,-0.040602224,4.144307787,-0.044329448,2.963287433,-0.047951332,2.818344026,-0.04813758,1.108622756,-0.048066939,1.562474379,-0.046238764,3.102664661,-0.045735744,2.035563792,-0.043442815,14.90923603,-0.041118766,49.46128272,-0.038660828,17.09284341,-0.03605434,2.194377431
-0.007178992,6358.564736,-0.010765816,1852.109474,-0.014350858,315.8649512,-0.017934105,86.18175117,-0.021413259,19.9863335,-0.024992972,19.95440645,-0.02857088,21.13570731,-0.032146988,18.67732444,-0.035721284,10.0676632,-0.039191726,5.321175054,-0.042762452,2.740405153,-0.046331356,2.00076182,-0.046492158,1.572501774,-0.046397783,2.615123628,-0.04465157,2.732483459,-0.044124729,2.764528815,-0.04198725,28.14199307,-0.039644352,46.36000398,-0.037168499,9.45455401,-0.034544973,1.993996618
-0.006868844,6653.003533,-0.010401604,2192.623528,-0.013831686,352.7532026,-0.017260045,118.1897441,-0.020686678,10.62166183,-0.024111583,8.594465936,-0.027635412,14.62326207,-0.031056798,12.80195325,-0.034476445,11.87810096,-0.03789435,6.994881674,-0.041310509,2.61318221,-0.044724921,1.398976335,-0.04486133,3.072866279,-0.044838126,4.45643367,-0.043078652,2.366342908,-0.042529015,8.699929083,-0.040462049,43.78190583,-0.03818122,37.6480988,-0.035756466,3.867302086,-0.033172444,2.192656359
-0.006662231,6233.690566,-0.010040471,2568.587298,-0.013317678,604.9414325,-0.016692462,242.1914816,-0.019966303,24.40522753,-0.023337619,8.197975915,-0.026608092,9.146718652,-0.029975926,10.19505317,-0.03324301,10.42044509,-0.036508427,8.937051749,-0.039871043,6.001715104,-0.043133053,2.264402555,-0.04334165,5.049001063,-0.043291787,3.512934368,-0.04152092,3.9312107,-0.041115775,17.25535946,-0.039028539,54.17665855,-0.036730085,23.88999751,-0.03435389,1.895144145,-0.031747423,2.266862013
-0.006456778,8382.727127,-0.00968265,2437.460031,-0.012906845,837.460226,-0.016031726,380.2281402,-0.019350174,64.21769698,-0.022471781,22.44754858,-0.025786743,4.400969501,-0.028905064,5.833237682,-0.032119156,8.749856523,-0.035331552,8.072784292,-0.038444973,8.281114209,-0.041751223,4.921794294,-0.041835273,4.920108849,-0.041759685,3.115541888,-0.040149304,12.01298347,-0.039630928,41.28163562,-0.037606214,52.89698996,-0.035361193,10.55314655,-0.032961391,1.719822083,-0.030333851,1.859703063
